Season,Species,Age,Average.Weight,Number,Cause,Producing,SLR,Cu,Zn,N,P,Org
Autumn,Salmon,9,300,4500,Human,Yes,6.868708816,0.420223173,6.171469563,266.816395,105.0463009,460.1676376
Autumn,Salmon,9,400,9000,Natural,Yes,3.013258665,3.646971222,8.307547457,365.2403254,144.2735432,629.3447765
Spring,Salmon,12,450,9000,Human,Yes,1.491361694,1.251278529,9.049526125,401.8577356,158.8675552,692.2850458
Spring,Salmon,15,150,10000,Human,Yes,5.619338877,0.467532926,6.3120422,272.961553,107.4954777,470.7303152
Spring,Salmon,14,22.5,3000,Natural,Yes,8.261015742,1.361527885,9.505815078,424.970521,168.0792462,732.0127309
Spring,Salmon.Fresh,4,40,20000,Human,Yes,0.593704521,2.991147962,11.88115958,373.6523843,38.06490719,302.2419164
Spring,Salmon,15,17.5,6500,Natural,No,0.817152335,0.416004937,4.576462039,518.0520938,152.1189437,159.3805963
Spring,Salmon,16,500,7500,Natural,Yes,2.265385353,0.236406236,12.62391666,542.5277556,84.25879938,918.9115127
Autumn,Salmon,21,90,500,Human,Yes,2.773786445,5.384645465,10.46190046,474.8296175,187.9507841,817.7136296
Autumn,Other,12,75,75000,Natural,Yes,0.337118623,3.47518887,7.859933131,76.9281454,43.13750072,224.9828111
Winter,Salmon,20,51,3000,Natural,Yes,0.784624195,-2.318486001,16.44066389,504.1597762,100.3087924,366.6119932
Spring,Salmon,16,100,20000,Human,Yes,3.035316401,0.420223173,6.171469563,266.816395,105.0463009,460.1676376
Spring,Other,15,100,2400,Human,Yes,0.585193262,-0.566635606,9.374562133,294.0135403,141.7408328,376.2522778
Spring,Salmon,13,800,35335,Natural,Yes,6.346075239,0.467532926,6.3120422,272.961553,107.4954777,470.7303152
Spring,Salmon,25,2500,19750,Human,Yes,2.432969291,5.761236493,10.6953922,299.4874893,118.0674933,516.3247351
Summer,Salmon,13,2500,8147,Human,Yes,2.966610987,0.606106967,6.738435269,291.8944087,115.0412413,503.2732785
Summer,Salmon,16,2100,36,Human,No,0.015859628,-3.910011236,-0.425242384,50.03177894,15.07459652,72.14251427
Winter,Salmon,13,1000,47176,Natural,No,3.613811871,2.167050616,9.380999817,215.3323135,123.5114704,586.8846756
Autumn,Salmon,34,155,150,Natural,Yes,5.418606332,0.449183164,6.257223846,270.559417,106.538097,466.6013753
Winter,Other,20,235,1560,Human,Yes,0.613091638,1.058542466,6.807207947,445.7063283,108.3759277,390.7214253
Spring,Salmon,13,4000,11476,Human,No,1.955749087,0.55517746,7.595041443,436.9896654,172.5108342,348.2111967
Spring,Salmon,14,1800,50,Human,Yes,3.255754787,1.361527885,9.505815078,424.970521,168.0792462,732.0127309
Spring,Salmon,15,4900,16000,Human,No,1.497907322,4.531157665,8.71561502,546.0906828,140.237154,181.2639808
Summer,Salmon,4,1700,18416,Human,Yes,2.69019608,-1.380924566,2.27015906,117.0246709,45.34622358,202.6963578
Summer,Salmon,9,2000,500,Human,Yes,0.308351778,-0.262838055,8.399096036,428.2846483,70.33245854,356.6221852
Summer,Salmon,18,300,50,Human,No,3.222716471,4.285137073,10.04177334,452.6847257,179.1248509,779.64962
Autumn,Salmon,30,3500,1,Human,Yes,0.22549643,5.693061658,5.508917232,176.5691828,219.2313689,199.6303557
Autumn,Salmon,20,900,1,Human,Yes,4.08357428,1.016788176,8.142269574,357.2496169,141.0888151,615.6098526
Autumn,Salmon,12,1000,200,Human,Yes,2.862131379,0.108380605,5.304153409,229.9864419,90.3675791,396.8620363
Autumn,Salmon,18,2500,3000,Natural,Yes,4.67692238,0.802773041,7.383234569,321.3464764,126.7794781,553.8973142
Winter,Salmon,36,5000,1,Natural,No,0.23805466,4.319825301,24.73461576,130.7702548,167.866889,447.0717247
Spring,Salmon,24,4000,11300,Natural,Yes,0.110664747,-1.948116046,1.464938975,91.65070349,35.23332965,159.0820133
Spring,Salmon,18,3500,4227,Human,No,1.785329835,-1.031875508,2.847174783,136.4693799,53.09598836,236.1191262
Spring,Salmon,12,9000,200,Human,Yes,0.576159966,3.060789824,9.122801296,334.2269819,118.5723679,556.8011228
Summer,Salmon,24,600,400,Natural,Yes,0.144557732,-1.948116046,1.464938975,91.65070349,35.23332965,159.0820133
Summer,Salmon,24,4000,400,Natural,Yes,0.045455037,-1.948116046,1.464938975,91.65070349,35.23332965,159.0820133
Summer,Salmon,24,3500,400,Natural,Yes,-0.033369362,-1.948116046,1.464938975,91.65070349,35.23332965,159.0820133
Summer,Salmon,20,9250,10000,Human,No,1.785329835,-1.031875508,2.847174783,136.4693799,53.09598836,236.1191262
Autumn,Salmon,18,1960,320,Human,Yes,9.699715778,5.929053153,8.474413858,373.3696281,147.5135086,643.3179247
Winter,Salmon,21,1800,1998,Natural,Yes,1.28520033,0.07372665,5.213776083,226.2581052,88.88163594,390.4535407
Winter,Salmon,23,100,20928,Natural,No,3.312177356,1.058206799,8.296549659,364.7067173,144.0608716,628.427578
Winter,Salmon,23,450,12943,Natural,Yes,3.633064273,0.18755432,5.514994786,238.765536,93.86652137,411.9520862
Winter,Salmon,20,4500,12000,Natural,No,2.848804701,5.205344479,6.464803188,279.6940752,110.1787507,482.3025907
Winter,Salmon,4,6300,43453,Natural,Yes,3.67147947,0.245359399,12.88861941,255.2548347,113.8061315,579.4141369
Winter,Salmon,2,3000,80000,Natural,Yes,3.086715664,6.154917724,8.505127193,374.8726361,148.1125383,645.9013878
Winter,Salmon,2,2100,40000,Natural,Yes,3.086715664,6.154917724,8.505127193,374.8726361,148.1125383,645.9013878
Winter,Salmon,15,2100,22500,Human,Yes,2.552668216,5.902973535,5.465566996,236.6972814,93.04221043,408.3970424
Autumn,Salmon,16,3452,3000,Human,Yes,5.165544043,0.321912985,5.887167137,254.5365049,100.1521027,439.0602029
Autumn,Salmon,16,4000,3000,Human,Yes,5.165544043,0.606106967,6.738435269,291.8944087,115.0412413,503.2732785
Autumn,Salmon,16,2000,3000,Human,Yes,5.165544043,0.321912985,5.887167137,254.5365049,100.1521027,439.0602029
Autumn,Salmon,16,4500,3000,Human,Yes,5.165544043,0.606106967,6.738435269,291.8944087,115.0412413,503.2732785
Autumn,Salmon,8,4800,7000,Natural,Yes,5.085375045,1.119531509,8.529588307,376.0711743,148.5902204,647.9615094
Winter,Other,24,1700,15800,Natural,No,2.842075744,0.9096089,7.711830456,206.6953157,81.08480969,356.8278081
Spring,Salmon,12,1000,3608,Human,Yes,0.273922713,2.404230499,6.250545427,696.498496,11.13308139,891.5403572
Summer,Other,3,185,4500,Natural,Yes,1.079081627,-1.353408262,10.75243633,411.9261545,160.3414001,320.3518825
Autumn,Salmon,9,1800,10,Human,Yes,2.942008053,-0.210193786,4.514658789,198.1367496,77.67375968,342.1168153
Winter,Salmon,20,2000,11900,Human,Yes,2.699091586,-0.268662121,8.396197328,277.1210382,159.0467227,710.6166669
Winter,Salmon.Fresh,10,2800,5000,Human,Yes,1.546227021,1.755263978,6.778665131,330.1687611,92.46042508,860.1945463
Winter,Other,3,1440,27767,Natural,Yes,3.369086194,0.97762629,14.01464158,191.1668969,177.2530483,632.1635969
Winter,Salmon,15,1100,16868,Natural,Yes,2.303196057,5.359384397,4.580208475,200.7185531,78.70274757,346.5545788
Winter,Salmon,9,3500,25108,Natural,Yes,26.18726724,1.041765969,8.235012299,361.7259355,142.8728694,623.3040257
Winter,Salmon.Fresh,13,3700,1293,Human,Yes,1.113528133,3.606860828,16.26910242,306.1847089,184.4959524,652.6442614
Spring,Salmon,10,2800,2019,Natural,Yes,9.879925796,1.041765969,8.235012299,361.7259355,142.8728694,623.3040257
Spring,Salmon,16,1900,223,Natural,Yes,2.934498451,1.115641345,8.514639428,375.3385564,148.2982327,646.7022406
Spring,Salmon,25,80,16000,Natural,Yes,2.771587481,5.283724197,6.408577985,277.2095212,109.188522,478.0319858
Spring,Salmon,19,1375,5500,Natural,No,11.45641369,2.237083592,13.88315397,411.02446,162.5209891,708.0413787
Spring,Other,22,4000,13,Natural,Yes,0.197049275,2.618239549,15.15616729,359.3557721,50.14308739,402.0947978
Spring,Other,22,1000,27,Human,Yes,0.511334444,-1.234225738,7.777782497,198.1949666,142.3037607,770.4439939
Spring,Salmon,12,1000,490,Human,Yes,1.837894591,5.106168665,3.880508359,485.9292543,236.8008688,549.0701142
Spring,Salmon,12,4879,4193,Human,Yes,1.175919918,3.324902923,8.550473705,331.2533085,142.5633643,530.4617819
Spring,Salmon,7,3700,34500,Natural,Yes,0.538733835,8.450166785,14.19499853,300.5846264,97.75998006,83.56034314
Summer,Salmon,15,5800,1950,Human,Yes,3.085290578,1.374165755,9.559401838,427.7141384,169.1727256,736.7286301
Summer,Salmon,15,3500,2981,Human,Yes,2.552668216,6.186751719,8.887468128,393.7570231,155.6389846,678.3610401
Summer,Other,18,3500,8859,Natural,Yes,2.630427875,0.20630009,5.565819499,240.8987028,94.71670333,415.6187052
Summer,Salmon,22,4100,8838,Human,Yes,2.771587481,5.283724197,6.408577985,277.2095212,109.188522,478.0319858
Autumn,Salmon,5,3000,100,Natural,Yes,2.77815125,1.215537303,8.90580902,394.6709539,156.0032353,679.931961
Autumn,Other,48,4900,12230,Human,Yes,0.469616195,-1.674322595,1.834832597,120.8463087,39.77435925,178.6663213
Autumn,Other,18,4000,200,Natural,Yes,1.36138923,1.518756607,17.1535276,350.4197105,220.0264196,661.5127377
Autumn,Salmon,7,850,10400,Natural,Yes,3.390935107,-2.100349829,1.273112553,85.92292371,32.95050062,149.2367512
Autumn,Salmon,7,4500,10400,Natural,Yes,3.390935107,-0.34568986,4.205393178,186.1119302,72.8812209,321.447812
Autumn,Salmon,7,4100,10400,Natural,Yes,3.390935107,-2.100349829,1.273112553,85.92292371,32.95050062,149.2367512
Autumn,Salmon,7,850,10400,Natural,Yes,3.390935107,-0.34568986,4.205393178,186.1119302,72.8812209,321.447812
Autumn,Salmon,24,1500,23805,Natural,Yes,2.996073654,4.25965607,10.42331023,472.7802855,187.1340148,814.191111
Winter,Salmon.Brood,36,1500,2,Human,Yes,0.154802739,-1.162498322,2.623205279,128.8007813,50.03963844,222.9378648
Winter,Salmon,17,1500,8213,Human,Yes,2.760252185,1.022434812,8.163157062,358.25609,141.4899489,617.3398407
Winter,Salmon,17,3500,8213,Human,Yes,9.853862368,1.214219524,8.900548648,394.4087534,155.8987343,679.4812746
Winter,Salmon,17,3000,8213,Human,Yes,2.001430077,1.022434812,8.163157062,358.25609,141.4899489,617.3398407
Winter,Salmon,17,3400,8213,Human,Yes,16.66616626,1.214219524,8.900548648,394.4087534,155.8987343,679.4812746
Spring,Other,10,1150,5727,Human,Yes,2.489848842,5.138077166,11.01279702,614.5891716,227.200809,318.6874059
Spring,Salmon,11,2400,18500,Human,Yes,2.877946952,0.874146278,7.62945937,332.8489087,131.3638174,573.6684061
Spring,Salmon,19,4500,16989,Human,No,20.97804392,5.011266754,7.872811943,344.353793,135.9491341,593.4437128
Spring,Other,13,6100,5900,Natural,Yes,2.406862762,0.66013942,17.20906676,393.9722,134.5774629,955.5840385
Summer,Other,18,275,12,Human,Yes,0.253863772,2.740078466,12.23092166,420.9690715,38.02276416,689.8314929
Summer,Other,16,1300,570,Natural,No,0.107685293,0.111798404,16.17831564,369.0889176,19.09551009,603.4473531
Summer,Other,6,1200,28500,Natural,Yes,5.436526261,4.666362849,2.27767039,360.2654497,118.0155565,1052.289747
Summer,Other,9,1740,1000,Human,Yes,0.1615985,-0.910334531,4.993790921,194.4652749,99.562322,263.5418056
Summer,Salmon,15,3000,1000,Human,Yes,2.77815125,1.513814032,10.16982223,459.3953511,181.7993969,791.1842579
Summer,Other,12,4500,14442,Human,Yes,0.561203812,-1.921619035,14.07649949,493.824268,58.74330282,207.9836573
Autumn,Salmon,15,60,1629,Natural,Yes,2.976808337,1.542973849,10.30163722,466.3389732,184.5668046,803.119385
Autumn,Salmon,9,4000,2500,Human,Yes,0.479475037,-0.218708164,5.095854618,245.7327375,109.4022458,544.3297637
Autumn,Salmon,18,850,7424,Human,Yes,3.331427297,2.454828376,15.25706608,462.7471876,183.1352845,796.945602
Autumn,Salmon,16,1000,7437,Human,Yes,2.718501689,6.127579885,10.54266519,294.4549405,116.0617513,507.674479
Winter,Salmon,35,440,6560,Natural,Yes,2.804139432,2.285186252,14.17586568,421.8655446,166.8417457,726.6757054
Spring,Salmon,10,55,20000,Natural,Yes,0.54694791,0.015157756,5.031449939,134.0182861,52.11909536,231.9060347
Spring,Other,9,2000,126,Natural,Yes,0.681121707,0.736372821,9.217129746,430.275321,89.35402372,618.4147364
Summer,Other,14,2500,381,Human,Yes,1.409299966,6.413297695,12.93810808,627.5224311,164.7263877,531.7817994
Summer,Salmon,30,2700,5500,Human,No,7.169729923,2.237083592,13.88315397,411.02446,162.5209891,708.0413787
Summer,Salmon.Fresh,7,5500,1700,Natural,Yes,0.913862299,5.580665211,10.99738993,259.9486699,111.287004,723.8805827
Summer,Other,3,45,1254,Human,Yes,1.236177931,2.674025717,13.17707367,309.5472419,228.8615961,524.8882189
Autumn,Other,15,155,1062,Natural,Yes,0.525721188,-1.566172927,2.712960175,477.9270602,180.3231337,219.4916519
Autumn,Other,14,100,3620,Natural,Yes,0.075241925,1.028988377,12.85225377,134.2821642,82.76549911,158.6737427
Autumn,Salmon,20,1000,7,Human,Yes,0.755314982,0.960060898,7.891750081,211.9502611,83.17918873,365.8603333
Spring,Other,12,1250,2500,Human,No,-0.138529647,1.490519172,15.98966386,453.6198249,-13.97109302,564.5485625
Spring,Salmon,24,4560,17766,Human,Yes,1.491361694,6.395905645,15.72604409,480.8833071,190.3635057,828.1190857
Spring,Other,6,1900,700,Human,Yes,1.588153015,0.001288145,11.7154618,430.0634934,148.4799349,793.514739
Summer,Salmon,15,4000,10534,Human,Yes,2.756636108,2.340953464,14.52274201,434.8385982,172.012207,748.9745923
Summer,Other,24,1300,523,Human,Yes,0.578853531,0.542892943,10.49726905,468.726067,88.81678673,488.0767245
Summer,Salmon,17,60,621,Human,Yes,3.259115844,2.967718113,19.05061032,616.1798333,244.2864653,1060.675123
Summer,Other,24,200,2000,Natural,Yes,1.977723605,0.879924248,7.607592072,203.6716436,79.87971333,351.6305334
Summer,Salmon,20,2300,315,Human,Yes,2.90579588,1.783573475,11.39375296,322.8713989,127.3872419,556.5184451
Summer,Salmon,15,1626,1,Human,Yes,3.199755177,2.393077678,14.85445398,447.3711476,177.0071036,770.5163134
Summer,Salmon.Fresh,8,60,34227,Natural,Yes,1.052144352,4.925317876,12.05718135,439.1760049,43.78883517,227.6832515
Summer,Other,8,90,197,Natural,Yes,0.014190281,1.340964481,7.652981366,229.4273668,35.65516119,65.12775132
Autumn,Other,24,5000,523,Human,Yes,0.52170198,7.569511142,2.593227105,278.3545523,177.33727,367.5047425
Autumn,Salmon,17,700,58880,Human,Yes,3.018284308,6.156825417,10.55319691,294.801028,116.1996858,508.2693556
Winter,Other,6,199,19879,Natural,Yes,-0.726732532,1.983484011,16.44820745,-105.5377977,80.09019383,627.5102869
Autumn,Salmon,30,2500,2766,Human,Yes,2.663700925,6.104049754,14.34521018,428.1819805,169.359186,737.5327861
Autumn,Salmon,18,2800,4000,Human,Yes,3.390935107,-0.607945549,3.620783596,100.3066614,38.68319552,173.9604091
Autumn,Salmon,18,1500,4000,Human,Yes,3.390935107,0.895138644,7.660869169,205.2151511,80.49488428,354.2836096
Autumn,Salmon,18,15,4000,Human,Yes,3.390935107,-0.607945549,3.620783596,100.3066614,38.68319552,173.9604091
Autumn,Salmon,18,190,4000,Human,Yes,3.390935107,0.895138644,7.660869169,205.2151511,80.49488428,354.2836096
Autumn,Salmon,10,35,36,Human,Yes,3.14082218,0.249557966,5.649910077,149.8208942,58.41728662,259.0685349
Spring,Salmon.Fresh,11,2200,10775,Natural,Yes,1.166018537,0.419163791,15.31131277,475.5662285,35.79607315,816.6717231
Spring,Salmon,13,2500,200,Human,Yes,1.151820968,3.720151629,9.382792151,581.4247313,214.3225998,335.2422869
Spring,Other,27,1400,35,Human,No,0.722118692,5.437852631,8.261235455,335.907065,116.9765759,659.3471164
Spring,Other,18,3900,57,Human,Yes,0.885648133,2.880333745,16.38352289,434.3923583,85.39835962,851.7169057
Autumn,Salmon,18,514,100,Human,Yes,2.619093331,2.556217525,15.94161722,489.3005461,193.7182292,842.5871567
Autumn,Salmon.Fresh,10,623,3317,Human,Yes,1.491361694,1.354519569,9.427095277,258.6009904,101.7720193,446.046492
Winter,Salmon,21,3600,33755,Natural,Yes,1.491361694,2.052008752,12.81043314,372.1385525,147.0228586,641.2018759
Winter,Salmon,24,4500,336470,Natural,Yes,29.30206658,2.187952606,13.59023677,400.2739191,158.236319,689.5626841
Winter,Salmon,24,300,336470,Natural,Yes,35.24772141,2.303424309,14.28840895,426.0597129,168.5133479,733.8849012
Winter,Salmon,24,3000,336470,Natural,Yes,24.42851597,2.303424309,14.28840895,426.0597129,168.5133479,733.8849012
Winter,Salmon,33,2200,8299,Human,Yes,3.08170727,5.64938745,12.31361015,354.5861573,140.0272828,611.0317334
Winter,Salmon.Fresh,12,3000,1500,Human,Yes,0.665371846,1.850733759,9.983917609,224.8997867,106.5684777,726.6533024
Spring,Salmon,12,4300,6000,Natural,Yes,0.166075294,0.885091534,7.625651725,204.194406,80.08806234,352.5290898
Summer,Other,9,60,1439,Natural,Yes,0.001102758,0.725707469,8.046614854,263.741939,0.389796107,340.6866896
Summer,Other,6,2890,3790,Natural,Yes,2.879501553,0.403019048,16.97044185,516.6021542,209.2812099,739.1678744
Summer,Other,15,175,200,Human,Yes,1.977723605,1.429306865,9.746031759,268.6870721,105.7918666,463.3830731
Summer,Other,14,175,20,Natural,Yes,0.578802608,0.972780301,19.01268622,411.4905504,120.120531,448.9018386
Summer,Salmon,15,3093,15000,Natural,Yes,1.561650254,0.885091534,7.625651725,204.194406,80.08806234,352.5290898
Summer,Other,12,2400,7371,Human,Yes,2.217970891,4.010663728,10.42321736,504.7886698,168.7696893,515.5286462
Autumn,Salmon,29,58,20,Human,Yes,1.959041392,6.279186881,13.85320968,409.9209364,162.0811754,706.1445741
Winter,Salmon,24,85,20,Human,Yes,0.125803109,1.796140654,7.767889155,316.7040409,25.76088408,564.282742
Winter,Salmon.Fresh,11,75,3180,Natural,Yes,0.206728608,1.206376381,11.82246264,159.148948,101.2723972,324.147413
Winter,Other,24,9000,378,Natural,Yes,1.151860278,-0.67725667,9.288479815,345.9725909,148.7679349,787.3245458
Winter,Salmon,9,3400,25623,Natural,Yes,-0.763293823,5.671313402,7.346863671,196.1760841,76.89232881,338.7467023
Spring,Salmon,27,4000,8700,Natural,Yes,7.240067058,1.093698931,7.926118467,538.048723,227.1338305,804.1256548
Spring,Other,12,3000,3056,Human,Yes,0.938434662,3.510706242,12.73574266,429.5950252,106.0001406,536.0544147
Autumn,Salmon,13,75,8875,Human,Yes,2.399673721,6.622912594,14.9156076,449.6950481,177.9333032,774.5107772
Spring,Salmon,11,2289,10,Human,Yes,10.32910313,2.595229881,16.21306539,499.9711954,197.9710583,860.9285289
Spring,Other,36,3800,6957,Natural,Yes,0.30712175,-0.078429772,4.798929093,150.2992639,49.81399776,221.9647338
Spring,Salmon,14,2600,1,Human,Yes,3.266466895,2.034106931,12.7109947,368.6020284,145.6133631,635.1230796
Spring,Other,9,1000,7172,Human,Yes,2.538302513,3.506787986,15.3629246,490.4350313,152.5482501,498.047386
Summer,Salmon,15,2000,823,Human,Yes,0.983774573,1.258897237,23.35522695,264.5821468,140.3578377,1027.563431
Summer,Other,12,2200,270,Natural,Yes,0.591667489,2.924074152,13.20774908,503.895486,91.23990102,510.2525853
Summer,Salmon.Fresh,4,4000,200,Human,Yes,0.133388913,5.420731027,12.73826556,440.650428,38.1184176,301.2158031
Winter,Salmon,20,950,2500,Natural,Yes,2.288487113,0.771665899,7.23733863,193.0563471,75.64894543,333.3843053
Winter,Salmon,20,2500,150,Natural,Yes,1.596042189,0.771665899,7.23733863,193.0563471,75.64894543,333.3843053
Winter,Salmon,10,3200,154569,Human,Yes,8.335035938,1.955666714,12.28387574,353.5449869,139.6123203,609.2421053
Autumn,Salmon,11,1000,1,Human,Yes,2.666517981,1.686002203,10.91618896,306.8149159,120.9878678,528.9195691
Autumn,Salmon,12,1400,2090,Human,Yes,0.576058154,4.666743413,13.80657775,326.5676052,89.17902672,546.3806945
Winter,Salmon,6,2400,1,Human,Yes,2.733197265,6.363654207,10.62572793,297.1883105,117.1511466,512.3727645
Winter,Salmon,18,2500,25259,Human,Yes,2.365487985,0.997874862,8.028916469,215.9869221,84.78801575,372.7987958
Spring,Other,20,2000,4,Human,Yes,1.086865539,1.091097137,8.35287745,557.8396627,140.9311449,547.3903908
Summer,Salmon.Brood,28,3300,40,Natural,Yes,0.018508819,4.349373451,2.423978898,74.42775721,28.36905707,129.478148
Autumn,Salmon,10,3000,2,Human,Yes,1.851258349,2.043419889,12.76263276,370.4370767,146.3447288,638.2772739
Autumn,Salmon,13,5000,1,Human,Yes,2.699837726,6.277544983,14.59218572,437.4520711,173.0538168,753.4667912
Spring,Other,15,722,2091,Human,Yes,0.423826508,-1.009519197,9.754567088,367.3462495,46.48703743,629.481111
Spring,Salmon,15,4100,2,Human,Yes,2.818225894,1.986496126,12.45009582,359.3788533,141.9374306,619.2697157
Summer,Salmon,20,3100,16000,Human,Yes,7.997325612,5.40458944,15.92117199,488.5000753,193.3991985,841.211258
Autumn,Salmon,17,3400,1,Human,Yes,0.222684177,1.008357145,8.067296427,217.1210921,85.24004365,374.7482775
Autumn,Salmon,5,2250,1,Human,No,7.406404943,2.237083592,13.88315397,411.02446,162.5209891,708.0413787
Autumn,Salmon,13,90,50,Human,Yes,2.555094449,2.815478055,17.8347159,565.3564994,224.0306268,973.3168333
Winter,Salmon,16,2800,617,Human,Yes,2.190331698,2.679575447,16.81581552,523.9487391,207.5274021,902.1426138
Spring,Salmon,17,3000,829,Human,Yes,0.152544878,4.837377915,11.54678795,274.1122228,76.32137582,348.2435515
Spring,Other,14,40,150,Natural,Yes,0.36122492,4.178966494,12.20282702,267.0040459,66.43684816,736.1369457
Autumn,Salmon,24,2200,1558,Human,Yes,3.022840611,3.619140754,17.78507721,563.3140052,223.2165828,969.8060678
Autumn,Salmon,13,1000,6,Human,Yes,3.738859802,2.678254169,16.80620258,523.5632885,207.3737792,901.4800773
Spring,Other,15,2340,493,Natural,Yes,0.594672874,2.200172665,18.43382844,214.8236,121.9750118,880.1183252
Spring,Salmon,7,4000,17398,Natural,Yes,-0.08784411,1.219824438,15.94438863,463.3193486,-2.430942246,864.2870571
Spring,Other,8,4500,283,Human,Yes,2.675778342,5.742972471,17.62214726,556.6279182,220.5518167,958.3136081
Summer,Salmon,11,3000,4,Human,Yes,0.586218986,2.914431735,9.247322171,514.1440912,40.12704284,1092.562937
Summer,Salmon,12,1100,11040,Human,Yes,2.382017043,5.821404035,18.39380943,588.5377915,233.2696214,1013.162272
Summer,Salmon.Fresh,6,2000,163,Human,Yes,0.530845604,-0.024131939,6.805645375,479.1160793,74.05096892,664.7681264
Summer,Other,14,3000,216,Human,Yes,1.491361694,2.156687427,13.40695306,393.5973991,155.5753658,678.0866686
Winter,Salmon,14,3200,750,Human,Yes,2.365487985,5.555406559,13.54345823,398.5662149,157.5557068,686.6273766
Autumn,Salmon,19,3200,24752,Human,Yes,15.07422574,5.464872298,11.80673417,336.9830516,133.0114962,580.7744266
Winter,Salmon,4,900,12,Human,Yes,2.255272505,5.511213016,14.73966385,443.0202733,175.2730456,763.0377615
Winter,Salmon,4,6600,12,Human,Yes,2.255272505,2.686083796,16.86324746,525.852059,208.2859776,905.4141577
Winter,Salmon,4,3300,12,Human,Yes,2.255272505,5.511213016,14.73966385,443.0202733,175.2730456,763.0377615
Winter,Salmon,4,4000,12,Human,Yes,2.255272505,2.686083796,16.86324746,525.852059,208.2859776,905.4141577
Winter,Salmon,9,1000,21712,Human,Yes,6.949153399,4.316280621,19.03359989,297.9936532,232.7916627,623.0256723
Winter,Other,20,1600,5400,Human,Yes,1.807374064,2.034591652,13.91626262,356.8239584,154.5848021,658.0319979
Spring,Salmon,15,6300,200,Human,Yes,2.63447727,2.428562575,15.08451797,456.135434,180.5001442,785.5809109
Summer,Other,18,1250,175,Human,No,-0.23968544,0.502828977,6.381187407,169.2706176,66.16904992,292.4999223
Winter,Salmon,24,3000,4000,Natural,Yes,3.124178055,0.372658693,5.996739897,158.9439328,62.05330931,274.7497778
Autumn,Salmon,15,2000,23970,Human,Yes,10.43471972,2.061142408,12.86145291,373.9575971,147.747846,644.3285623
Spring,Salmon.Fresh,14,60,4465,Human,Yes,2.633171502,1.89404259,9.729978871,415.742818,139.7338334,894.5642591
Spring,Other,14,60,3000,Human,Yes,1.981552841,1.57245632,6.344636387,421.8926074,119.7519649,952.2536119
Spring,Salmon,12,350,500,Human,Yes,2.045322979,6.00457689,13.2436368,387.6810488,153.2173813,667.9172797
Summer,Other,3,4500,33072,Human,No,0.65990608,0.695288846,6.985176544,185.9394051,72.81246036,321.1512653
Autumn,Other,15,20,1300,Natural,Yes,0.697910952,4.783374116,5.864725441,155.4496254,60.66063944,268.7435461
Winter,Salmon,16,200,13952,Natural,Yes,2.36361198,5.916666501,16.69766432,519.2180466,205.6419661,894.0112069
Winter,Salmon,9,200,73684,Human,Yes,2.089905111,2.360621812,14.6470475,439.5205911,173.8782336,757.0222914
Autumn,Salmon.Fresh,9,3900,20,Human,Yes,0.492948883,0.0210363,15.83059084,447.7762732,89.61224761,517.3612378
Winter,Salmon,13,221,5603,Human,Yes,2.004321374,5.046587535,9.606304466,264.2519381,104.0242266,455.7596905
Winter,Salmon,4,415,62828,Natural,Yes,3.225567713,2.620420315,16.39078333,507.0003774,200.7725663,873.0107215
Summer,Other,20,3000,1601,Natural,Yes,0.271881439,-0.846963543,12.65906492,322.1912617,136.4525305,221.9646986
Summer,Salmon,13,1000,48834,Human,Yes,29.991497,2.2100027,13.72095143,405.0591794,160.1435031,697.7878855
Winter,Salmon,15,195,19686,Human,Yes,-0.544743074,2.061142408,12.86145291,373.9575971,147.747846,644.3285623
Autumn,Other,16,974,52,Human,Yes,1.491361694,2.101453674,13.08895739,382.1062242,150.9955131,658.3349264
